Network,Acc.(%),Time(ms),Gain,Thrshld.T,Exit(%)
lenet(100),98.85,1.934894848,1,-,-
B-lenet(100),99.02,0.79117806,2.445587089,{0.0001},"{63.75, 36.25}"
B-lenet(100),99.02,0.63245337,3.059347834,{0.0005},"{73.88, 26.12}"
B-lenet(100),99.03,0.565462565,3.421791231,{0.001},"{78.17, 21.83}"
B-lenet(100),99.04,0.438766766,4.409848237,{0.005},"{86.42, 13.58}"
B-lenet(100),99.02,0.388963294,4.974492137,{0.01},"{89.42, 10.58}"
B-lenet(100),98.98,0.34147675,5.666256475,{0.025},"{92.5, 7.5}"
B-lenet(100),98.98,0.313309693,6.175662257,{0.05},"{94.16, 5.84}"
B-lenet(100),98.99,0.29889915,6.47340365,{0.075},"{95.13, 4.87}"
B-lenet(100),99.01,0.291953492,6.627407789,{0.1},"{95.55, 4.45}"
B-lenet(100),99.04,0.268018818,7.219249988,{0.25},"{97.16, 2.84}"
B-lenet(100),98.96,0.251669145,7.688248199,{0.5},"{98.25, 1.75}"
B-lenet(100),98.72,0.231918025,8.343011923,{0.75},"{99.49, 0.51}"
B-lenet(100),98.61,0.22631278,8.54964905,{1.0},"{99.88, 0.12}"
B-lenet(100),98.57,0.223753333,8.647445922,{2.0},"{100.0, 0.0}"
B-lenet(100),98.57,0.223925233,8.640807572,{3.0},"{100.0, 0.0}"
B-lenet(100),98.57,0.224614906,8.614276228,{5.0},"{100.0, 0.0}"
B-lenet(100),98.57,0.22360816,8.653060102,{10.0},"{100.0, 0.0}"